Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other
20170416162626657b8c61471-e9e3-4883-a38a-e1dcc8d90aa3,americafirst_BC,AmericaFirst,americafirst,517,79632,1351,233,ORGANIZED,POLITICAL	TRUMP	
201704161626453523e31874e-058f-4e3f-a3e5-076824b8e25a,americafirst,HillarySupporters20161102,americafirst,1172,101069,2467,456,ORGANIZED,POLITICAL	TRUMP	
20170416162701312df8f725c-db1a-46c1-a3a0-f98e2b1b9b4f,americafirst_BC,HillarySupporters20161102,americafirst,959,108298,1442,446,ORGANIZED,POLITICAL	TRUMP	
201704161627023552eae0d0f-dd66-4f23-b818-6e8c9f70e240,americafirst_BC,HillarySupporters20161102,americafirst,997,98125,1649,413,ORGANIZED,POLITICAL	TRUMP	
20170416162703208e6b1dac2-f8d2-4d5e-a4b7-431365b2a8a8,americafirst_BC,HillarySupporters20161102,americafirst,1077,112203,1961,452,ORGANIZED,POLITICAL	TRUMP	
20170416162704467e9cbeda4-eb18-455e-80fc-008d5f1ce8f8,americafirst_BC,HillarySupporters20161102,americafirst,922,107416,1860,431,ORGANIZED,POLITICAL	TRUMP	
2017041616270633f9def4d8-e39c-412e-af2b-fe1e58f39890,americafirst_BC,HillarySupporters20161102,americafirst,960,96793,1790,425,ORGANIZED,POLITICAL	TRUMP	
20170416162706966b5546378-94dc-405e-83ae-b3d2783cb5b9,americafirst_BC,HillarySupporters20161102,americafirst,970,115176,2002,439,ORGANIZED,POLITICAL	TRUMP	
201704161627081460eb5f18e-11d0-414d-9a3a-fb22565daa42,americafirst_BC,HillarySupporters20161102,americafirst,907,118372,1901,409,ORGANIZED,POLITICAL	TRUMP	
2017041616270952352f3b389-0b1d-4f07-b9ff-63824398efb3,americafirst_BC,HillarySupporters20161102,americafirst,851,106920,1564,385,ORGANIZED,POLITICAL	TRUMP	
2017041616271178f98dd636-bafb-4815-bd70-92c0b026c412,americafirst_BC,HillarySupporters20161102,americafirst,725,101086,1125,379,ORGANIZED,POLITICAL	TRUMP	
201704161627135895e61d0fb-f655-41f2-9e05-0a7e2d5c3b5e,americafirst_BC,HillarySupporters20161102,americafirst,792,99611,1340,367,ORGANIZED,POLITICAL	TRUMP	
201704161627148290fb4ce30-c4b7-4f5c-a682-06fcc4914feb,americafirst_BC,HillarySupporters20161102,americafirst,893,105830,1645,387,ORGANIZED,POLITICAL	TRUMP	
2017041616271658728965320-257b-415d-8ae0-0b30e2890757,americafirst_BC,HillarySupporters20161102,americafirst,725,93988,1269,345,ORGANIZED,POLITICAL	TRUMP	
201704281031131349ac75438-27dd-478c-a80e-dd1b98d5b121,NeverHillary,NeverHillary,neverhillary,1324,94314,3964,338,ORGANIZED,POLITICAL	TRUMP	
20170428103235401417115be-9b6d-4174-b399-4f2e1024508d,NeverHillary_BC,NeverHillary,neverhillary,1173,98432,3626,326,ORGANIZED,POLITICAL	TRUMP	
20170428103333586d6f6d526-51fe-4bfa-bc14-2c3c02c35068,NeverHillary_BC,NeverHillary,neverhillary,1213,103444,3620,357,ORGANIZED,POLITICAL	TRUMP	
201704281034318095e59a4a-b7fe-45e9-9178-4d5d89656954,NeverHillary_BC,NeverHillary,neverhillary,1215,99424,3750,331,ORGANIZED,POLITICAL	TRUMP	
20170428103508837fdba201c-7919-461b-a0d3-dc3e5f83b055,NeverHillary_BC,NeverHillary,neverhillary,1205,97692,3928,326,ORGANIZED,POLITICAL	TRUMP	
20170428103558831774cfb46-dffe-464a-921a-d4bd6a7a1e74,NeverHillary_BC,NeverHillary,neverhillary,1190,92272,3490,315,ORGANIZED,POLITICAL	TRUMP	
20170428103723396e8ce8f22-ab78-4485-9693-d079379cc996,NeverHillary_BC,NeverHillary,neverhillary,1212,108830,3066,327,ORGANIZED,POLITICAL	TRUMP	
20170428103836793389e80c4-f11e-4b3e-bbef-fd972273b1e9,NeverHillary_BC,NeverHillary,neverhillary,1327,96196,3732,303,ORGANIZED,POLITICAL	TRUMP	
20170428103909825f1ddeb02-ab12-4942-9153-bfc9bdcf7ccf,NeverHillary_BC,NeverHillary,neverhillary,1145,99569,3049,301,ORGANIZED,POLITICAL	TRUMP	
20170428104014195b43a50bb-c593-45c9-a0eb-8a076509bd8f,NeverHillary_BC,NeverHillary,neverhillary,1152,92120,3296,298,ORGANIZED,POLITICAL	TRUMP	
20170428104033900f26546d2-ef61-4508-8e6e-d53c6c2f4df1,NeverHillary_BC,NeverHillary,neverhillary,1065,91082,2547,330,ORGANIZED,POLITICAL	TRUMP	
201704281041092323d6b6122-1d65-4266-84de-e81be3e7e934,NeverHillary_BC,NeverHillary,neverhillary,1135,80004,2639,356,ORGANIZED,POLITICAL	TRUMP	
201704281042108460c9db6d1-10b2-43e7-9d46-baccfdb39b30,NeverHillary_BC,NeverHillary,neverhillary,1287,89965,3237,384,ORGANIZED,POLITICAL	TRUMP	
20170428104253995408402c3-7c82-4769-8951-f4aa019bbfbe,NeverHillary_BC,NeverHillary,neverhillary,1157,77892,2747,357,ORGANIZED,POLITICAL	TRUMP	
2017042810445928a9ba2d31-0a80-4604-a29a-fd0477e7f341,NeverHillary_BC,NeverHillary,neverhillary,1182,77288,2615,370,ORGANIZED,POLITICAL	TRUMP	
201704281045335984822e354-9bd9-4b89-9fb6-72a66cb0a95f,NeverHillary_BC,NeverHillary,neverhillary,1061,85820,2568,393,ORGANIZED,POLITICAL	TRUMP	
2017042810461486473280dfc-793a-44b2-ad92-2db859a37e6d,NeverHillary_BC,NeverHillary,neverhillary,1125,80530,2975,355,ORGANIZED,POLITICAL	TRUMP	
2017042810463660611a3f13f-3a38-42cd-bd4e-3b360be7ea93,NeverHillary_BC,NeverHillary,neverhillary,1268,91528,3737,361,ORGANIZED,POLITICAL	TRUMP	
