Request Id,Request Definition,CampaignId,Hashtag,SeedTweets,ExpandedTweets,HashtagTweets,UserCount,Organized,Other
201702262239528169eeb05f4-a327-4da2-8819-a2dc0d196731,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4488,485916,4286,2270,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226223954896f157c8eb-2269-426d-86ee-33f976a4ca0b,bucketElection_BC,ElectionDay,election,6860,343092,2399,1073,ORGANIC,POLITICAL	IRRELEVANT	

20170226223958386a4b8fd0-1ea1-4586-8a02-5385d097413b,bucketElection_BC,ElectionDay,election,4926,352417,2661,1033,ORGANIC,POLITICAL	IRRELEVANT	

201702262240007195b880604-0fa2-4f0a-9da2-33017285db75,bucketElection_BC,ElectionDay,election,3322,185264,1611,551,ORGANIC,POLITICAL	IRRELEVANT	

201702262240481402875d80d-2493-4853-8226-e88be14145e4,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4547,486217,4586,2302,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201702262241413491d2a64d2-fbb4-4800-aa35-f5bab0b3b99e,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4635,505391,4654,2312,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201702262242203376194570f-bbf9-4456-ba11-491f9bad4c92,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4796,502007,4413,2273,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

201702262243012775f1fec1-1da8-4e1c-9acd-6b4a6099d1f6,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4871,533521,4368,2358,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226224343226694ff296-125a-4166-9760-d862609a9326,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4575,539081,4461,2367,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226224506573dd3d5418-12ab-4920-8ee4-29dec90478bd,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4227,528353,3472,2221,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

2017022622453219089853fc2-3afe-44fd-af31-fa384d809821,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4972,519738,5373,2359,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

20170226224631417d456425b-4efa-4d3c-9d8b-fcd0ee9c9de9,ThanksGivingBucket_BC,GeneralThanksgiving,thanksgiving,4831,511628,5978,2379,ORGANIC,NON-POLITICAL	NON-POLITICAL	NON-POLITICAL	IRRELEVANT	

