hashtag,UserFriendFollowerRatiosMV_friendFollowerRatio_average,UserFriendFollowerRatiosMV_friendFollowerRatio_population_variance,UserFriendFollowerRatiosMV_friendFollowerRatio_population_standard_deviation,UserFriendFollowerRatiosMV_friendFollowerRatio_minValue,UserFriendFollowerRatiosMV_friendFollowerRatio_maxValue
NewMusic,0.5364781571617097,0.005505637820605755,0.0741999853140535,0.1540880503144654,0.6924979389942292
QuePapaNoelMeTraiga,0.22678198724817403,0.029232220168954586,0.1709743260520555,0.0990990990990991,0.7692307692307693
debate,0.5620527866563746,0.01728175946426895,0.13146010597998523,0.16198501872659177,0.9989403973509934
infowars,0.4284636828983478,0.024097743848350613,0.1552344802173493,0.1438721136767318,0.9120477928974444
ВЕЩДОКИ,0.45256251252708307,0.05200359791902317,0.22804297384270178,0.10354857475276323,0.9989403973509934
ГодЛитературы,0.38596793684467234,0.027246971706089793,0.16506656749956908,0.08915304606240713,0.8208955223880597
Госдума,0.5096255783383132,0.06304884705633722,0.2510952947714019,0.12464183381088825,0.9979812809689851
США,0.4698025422612382,0.05083610482849654,0.2254686338019028,0.10010214504596528,1.0
СтатусыМоихФолловеров,0.3953333522029375,0.020448898055474476,0.1429996435501658,0.10543478260869565,0.6310679611650486
Тольятти,0.5450178975874521,0.05671325245702647,0.23814544391406373,0.2076749435665914,0.9962362478286045
бизнес,0.5588090551170347,0.018910871512355147,0.13751680447259945,0.46726190476190477,0.9987439208992238
газ,0.44751108049679794,0.02858200188988257,0.16906212435043685,0.14385692068429237,0.897970378496983
рубрикамоизавтраки,0.4075578631263443,0.027944122788335444,0.1671649568191116,0.17210682492581603,0.7973316391359594
1Hr,0.550075250895526,0.002589674689378118,0.050888846414299055,0.4756198347107438,0.6924979389942292
Bruxelles,0.43956186424306143,0.026236978669092897,0.1619783277759494,0.09479166666666666,0.9782102272727272
FollowTheMoney,0.48704395266335515,0.0204850798417264,0.14312609769614484,0.18867395570507428,0.9120477928974444
Homs,0.48461730535230896,0.03565827041470266,0.1888339757954131,0.1092436974789916,0.8168591945051514
KS04,0.9120477928974444,0.0,0.0,0.9120477928974444,0.9120477928974444
MothersDay,0.5392549476563342,0.01607850643262346,0.12680105059747518,0.17427385892116182,0.9120477928974444
P2,0.4864374401690507,0.013840733489672534,0.11764664674215128,0.1268910157456005,0.9120477928974444
Vets,0.4990348029282888,0.017334880920558647,0.13166199497409511,0.189079054604727,0.9120477928974444
photography,0.48231430720136276,0.04290146504528016,0.20712668839451898,0.12200435729847495,0.9932048627700801
